"title","content"
"Process Safety Beacon (English) - November 2001 [2001-11-Beacon-English_0]","AIChE © 2001.  A ll rights reserved. Reproduction for non -commercial, educational purposes is encouraged.  
However, reproduction for the purpose of resale by anyone other than CCPS is strictly prohibited.  
 Process Safety Beacon  CCPS  An AIChE Industry     
Technology Alliance   Messages for 
Manufacturing 
Personnel  
 
Important Items 
to Look for to 
Identify this 
Hazard   
• a stagnant vessel vapor 
space, and  
• trace amounts of 
flammable chemicals 
which could be 
released from the 
liquid.  
 
 
 Trace quantities of flammables can cause an event like this!   
Flammables in a vessel vapor space is a hazard present in many facilities .  In most cases, it is associated 
with handling flammable liquids; control systems include inert gas (e.g., nitrogen) padding, electrical 
grounding, hot work permit procedures, etc.  
 
But, a flammable vapor space can also develop in vessels which contain o nly TRACE amounts of 
flammable materials! Here are a few of the ways this could occur:  
• A reaction involving a chemical with trace quantities of a flammable material; when the main 
component is consumed in the reaction, these small quantities accumulate in the vessel’s vapor 
space, or  
• A liquid containing small quantities of soluble or entrained flammable impurities flows through a 
vessel, the flammable material is released and trapped in the vapor space, or  
• Adsorption of a liquid which contains trace quantit ies of a non absorbed flammable impurity which 
can be left to accumulate in the vapor space.  
 
What To Do If You Have This Hazard   
• treat the vessel as if it held a flammable material  
• install a purging flow in the vapor space to maintain a flammable concentration less 
that 25% of the lower explosive limit  
 November 2001  
"
"Process Safety Beacon (English) - December 2001 [2001-12-Beacon-English_0]"," 
  
 Process Safety Beacon  CCPS  An AIChE Industry     
Technology Alliance   Messages for 
Manufacturing 
Personnel  
Snow and Ice Hazards – they can cause more than 
slips and falls!   
For many of us, it’s that time of the year again!  
 
Snow and ice build -ups on equipment and buildings can have undesirable 
consequences when they finally  decide to fall.  Damage can include 
bent/broken sections of tubing, small piping and cable trays; injury to 
personnel can occur if someone is in the area at the time.  But, did you know 
snow and ice “slides” have opened valves?  
 
 
INCIDENT DESCRIPTION   
A release of material occurred from a ¾” drain valve on piping connected to an atmospheric storage tank.  
How the valve opened was unknown.  The incident was investigated; a theory was developed that melting 
snow slid from the top of the tank and landed on the straight handle of a ¼ turn ball valve - and this caused 
the valve to open.  There were skeptics – and more than one!  So, the investigation team carried a bucket of 
snow to the top of the tank and let it slide in the direction of the valve.  The theory was proven! - Snow 
falling from the top of the tank can open a ¾”, “straight handle” ball valve.  
 
In a similar situation at another facility, a mass of ice broke away from  a structure and landed on a similar ¼ 
turn straight handle condenser drain valve.  Again, release of material followed.  
ACTIONS 
TAKEN    
These incidents prompted 
a review of the plant’s 
piping and valve 
installation practices.  
Modifications were made, 
drain valves were installed 
in the vertical position, 
lever -style (straight) 
handles must be installed 
such that the valve is 
opened by pulling up on 
the lever, not by pushing 
down.  Circular style 
handles offer similar 
protection.  LESSONS LEARNED   
 
Snow and ice build -up represent significant hazards – for a number of 
reasons.  While the consequences in most cases will not be major, there is 
potential for events of concern.  Obviously, the best preventive measure is 
installation of equipment that will not allow snow or ice to accumulate.  
Where this is unsuccessful, controlled removal (e.g., carefully cut small 
pieces with steam and allow them to safely fall to grade) is an action to 
consider.  When this cannot be done, precautions should be taken which 
limit damage when the material eventually does fall to grade.  
Also, inadvertent operation of ¼ turn drain valves has occurred in many 
facilities, this example is for falling snow/ice.  Other causes include :  
inadvertent contact with moving objects (hoses, peo ple, ladders or 
materials), vibration, etc.  Experience indicates that round handles are an 
effective means to prevent a number of releases.  Many locations have also 
adopted a practice of installing a mechanical plug (or blind flange) in all 
valve opening s, which could allow release of a hazardous material.  December 2001  
AIChE © 2001.  All rights reserved. Reproduction for non -commercial, educational purposes is encouraged.  However, 
reproduction for the purpose of resale by anyone other than CCPS is s trictly prohibited.  
                    Contact us at ccps@aiche.org  or 212 -591-7319  
 "
"Process Safety Beacon (English) - January 2002 [2002-01-Beacon-English_0]"," 
Explosions  
 
 
{PSID Members see Incident *327 } 
 
 Process Safety Beacon  CCPS  An AIChE Industry     Technology Alliance   Messages for 
Manufacturing 
Personnel  
 Every year, hundre ds of equipment 
items are damaged in an explosion.  
These events are often described in 
familiar terms:  
 
??a flammable vapor, air and an 
ignition source generate 
pressure,  
??which ruptures 
piping/buildings/equipment (like 
these column trays),  
??leading to proper ty damage, 
downtime, lost business and, in 
some cases, serious injury or 
death to personnel in the 
immediate area.  
 
Most flammable materials have a flammable range, a concentration of the flammable 
material in air, which will support combustion.  If the c oncentration of the substance is 
above or below these “flammable limits”, combustion will not occur.  Please recognize that 
these values depend upon a number of variables, including the material itself, the pres sure, 
and the oxygen concentration . There are  many ways to prevent explosions - this message 
will BRIEFLY discuss one :  How much flammable material 
is needed to generate an explosion?   The short answer is - in 
most cases, LESS THAN YOU MIGHT THINK!  
Let’s go take a fairly simple example – PROPANE, a material 
many of us have in our home B -B-Q grills.  How much propane 
is needed to fill a 2 -car garage (say 20’ by 20’ by 10’) to its 
lower flammable limit?   Propane’s flammable limits in ambient 
conditions are between 2.3% and 9.5% (by volume) in air (ref:   
SAX, 9th edition).  SO…. 
        -garage volume = 20 * 20 * 10 = 4000 ft3  
        -lower explosive limit amount = 2.3% * 4000 ft3 = 92 ft3  
         of propane vapor  
        -which is equivalent to about 3 gallons of liquid – 
Answer:  NOT MUCH!  In a typi cal manufacturing site, 
flammable materials are 
handled in hundreds or 
thousands of gallons.  It is 
obvious that careful control is 
needed for these materials.  
Very small quantities, even 
those involved with valve 
leakage, can generate events 
which have v ery severe 
consequences!  January  2002  
AIChE © 2002 .  All rights reserved. Reproduction for non -commercial, educational purposes is encouraged.  
However, reproduction for the purpose of resale by anyone other than CCPS is strictly prohibited.  
           Contact us at ccps@aiche.org  or 212 -591-7319  
 "
"Process Safety Beacon (English) - February 2002 [2002-02-Beacon-English_0]"," 
 
A little “nothing” can really be deflating!  Process Safety Beacon  CCPS  An AIChE Industry     
Technology Alliance   Messages for 
Manufacturing 
Personnel  
 
 
  
Things to consider to prevent equipment damage from vacuum:  
 
• install a system to provide vacuum relief .  As one of the pictures graphically 
demonstrates, railcars and trucks MAY NOT have this equipment. These 
devices will allow air to enter the vessel and prevent vacuum formation.  
• if installed, vacuum relief devices must be inspected and tested on a regula r 
basis.  They are just as critical as pressure relief devices.  
• understand which vessels in your department are not rated for full vacuum.  
These are the vessels vulnerable to vacuum related incidents,  
• demonstrate caution whenever liquids are transferred o r vapors are condensed 
because of shutdown, maintenance, cleaning, etc..  
• be sure that the addition of air, nitrogen, or other vacuum breaking materials 
are not impeded.  VACUUM is a powerful force!  
COMMON causes of vacuum damage to tanks include:   
• The ves sel has insufficient strength to withstand a vacuum; a vessel with a 50 
psig (or higher) ASME pressure rating is frequently capable of withstanding a 
full vacuum;  
 
• vacuum is created when liquid is transferred from a vessel or when hot vapor  
condenses, ne ither of which is replaced by air/nitrogen or other non -
condensable material, and  
 
• a vacuum relief system is not present or is not functioning properly.   
Here’s what 
happened……  
 
When steam cleaning 
the interior of a railcar 
most of the air was 
displaced. When work 
was stopped at the end 
of the day all valves 
were closed. As the car 
cooled, the steam 
condensed, creating a 
vacuum, causing the 
railcar to collapse  
 
During painting, a tank’s 
vacuum relief valve was 
covered with plastic to 
prevent potential 
contamination of the 
contents. When liquid 
was pumped out the 
plastic covering 
prevented air/nitrogen 
from replacing the liquid 
volume. A vacuum 
developed leading to the 
partial collapse of the 
tank. WHENEVER vacuum relief systems are removed, covered, modifi ed, 
etc., special precautions are needed to prevent an incident ! February 2002  
AIChE © 2002.  All rights reserved. Reproduction for non -commercial, educational purposes is encouraged.  However, 
reproduction fo r the purpose of resale by anyone other than CCPS is strictly prohibited.  
Contact us at ccps@aiche.org  or 212 -591-7319.  "
"Process Safety Beacon (English) - March 2002 [2002-03-Beacon-English_0]"," 
 
 
 Process Safety Beacon CCPS 
An AIChE Industry     
Technology Alliance  Messages for 
Manufacturing 
Personnel 
LAYERS OF PROTECTION
YYYooouuu   NNNEEEEEEDDD   TTThhheeemmm   
HERE’S WHAT HAPPENED…… 
 
During a non-routine procedure, materials 
were transferred into a vessel.  A number of items were present (i.e., “layers of protection”) to prevent vessel damage, including: 
• A high pressure alarm (in this case, 
the alarm was acknowledged earlier when it was assumed to be caused by a faulty instrument) 
•  A pressure control system which 
allows pressure to be vented to another system in the area (in this 
case, this “second system” was out of 
service), and 
• A pressure relief/vacuum system 
which vented to the atmosphere (this system contained a flame arrestor which was found to be plugged). 
• The net result of all these failures was 
a ruptured roof on the tank 
 
What can I do to protect equipment? 
• NEVER  assume an alarm is functioning improperly -if an alarm becomes a 
nuisance, take immediate steps to have it repaired; 
• Review alarm status for equipment early in your shift, understand why ALL  
alarms are present; 
• Pressure/vacuum relief valves are often the LAST  line of defense which prevents 
vessel damage, maintenance systems must be in place to properly test these devices; 
• Pluggage in vent lines must be managed - if a line has a tendency to plug, cleaning 
frequencies should be adjusted to main tain the line in a “clean” state; and 
• Non-routine operations often have fewer or weaker layers of protection when 
compared with “routine” operations, all items preventing equipment damage are especially critical.
 What do layers of protection accomplish? 
• A well designed facility includes multiple items of protection for equipment; 
• These frequently include a number of the following: operato r monitoring, procedures, alarms, interlocks, pressure 
rated equipment and relie f/vacuum valves, and 
• In most cases, multiple systems must  fail before vessel damage occurs 
 March 2002
AIChE © 2002.  All rights reserved. Reproduction for non-co mmercial, educational purposes is encouraged.  However, 
reproduction for the purpose of resale by any one other than CCPS is strictly prohibited. 
Contact us at ccps@aiche.org  or 212-591-7319. "
"Process Safety Beacon (English) - April 2002 [2002-04-Beacon-English_0]"," 
 
 
10,…9,…8,…7,...”Houston, we h ave launch ! Process Safety Beacon CCPS 
An A IChE Industry     
Tech nology Alliance  Messages fo r 
Manufacturing 
Personnel 
How’d that happen ? 
Compressed gas cy linders have an enor mous amount of stored 
energy  just w aiting to be mishandled, dropped, or vigorousl y 
abused.  If this  energ y is released suddenl y, they  act like a  jet 
engine; not just lik e - they  pretty  much are a jet w ithout the 
combustion process.  Exhau st vapor from a broken val ve 
creates a force that moves the je t, or cy linde r here, in an  
por.  It w as fortunate that 
this cy linder selected to travel up instead of across the room.  
The pictur es sp eak for themselves – the forces i nvolved are 
significant, and major damages to propert y and people are  
potential outcomes w hen this energ y is released su ddenl y. 
 opposite direction of the exiting va  
What do you look for? 
Remember this story and the pictures  next time you’re working with 
compressed gas cy linders.  They  have an incredible amount of power - The cylinder that got away 
jet power.  That’s why it’s important  to practice all those precautions 
you hear about – keep them chained up, make sure valve covers  are in 
place when moving, follow m anufacturer’s recommended practices, 
etc.  And especiall y, don’t allow  someth ing to occur w hich knocks 
the valve off .  If that happens it could be “Houston, we have a 
problem” .   The Incident…. 
An operato r was 
supposed to 
remove one of 
the tw o FM-200 
fire suppression 
cylinders from 
service, but 
things didn’t go 
exactl y according 
to plan.  As you 
can see in the 
first picture, 
there’s only  one 
of them.  During 
removal of its 
twin, the cy linder 
managed to 
escape and make 
a clean get aw ay, 
clear through the 
ceiling and onto 
the roof!  Look 
carefull y at the 
second picture 
and y ou can 
identify  the need 
for roof rep airs! April 200 2
AIChE © 2002.  All rights reserved. Repr oduction for non -commer cial, ed ucation al purposes is en couraged.  However, 
reproduction for the purpose of resale by anyone other than CCPS is strictly p rohibited. 
Contact us at ccps@ai che.org or 212-591-7319.   http://www.aic he.org/ ccps/sa fetybeacon.htm  "
"Process Safety Beacon (English) - May 2002 [2002-05-Beacon-English_0]","Process Safety Beacon CCPS 
An A IChE Industry     
Tech nology Alliance  Messages fo r 
Manufacturing 
Personnel 
 
….AND HE BLEW THE HOUSE DOWN 
 
What is an explosion? 
There ar e lots of  definitions, 
but the explosion above 
resulted fro m a basic 
combustion process.   
There were three steps: 
• 
• 
• release of a com bustible 
material (hydrogen in 
this c ase) 
accum ulation of that 
material in a “cloud”, 
and then 
an ignition source 
provides the “spark” for 
combustion. 
Obviously, the larger the 
accum ulation, the la rger the 
explosion!  
So, w hat do you do? 
In this incident, a good ventilati on system  woul d likely dilute the sm all amounts of escaping hydrogen to 
maintain a concentration below the lower flammable limit – “dilution is the solution”!  Indoor battery 
charging operations MU ST take hydrogen generation rates into account, and an  appropriately designed 
ventilation system  installed, operated and m aintained. What about hydrogen? 
Hydrogen is an interesting gas, it is  very “light” (it will rise quite 
rapid ly in a ir) and has a very wide r ange of  flamm ability.  A large 
number of hydrocarbons are com bustible in a range of 2-15%;  
hydrogen is com bustible in a range of 4-74% (by volum e), which is 
very wide by com parison.  Also, the am ount of e nergy required to 
ignite a hydrogen cloud is very low.  These properties, in m any 
respects, m ake hydrogen an ideal m aterial for explosions in areas 
where it can  be confined . Here’s wh at 
happened… 
The pictu re here is the typical 
result of an event that happens 
hundreds of tim es every year 
– an explosion  
 
In this case, the “fuel” w as 
believed to be hydrogen 
generated from  the computer 
backup battery charging 
system  seen in the 
background.   Ventilation  of 
this r elatively sm all portion of  
the 50,000 square foot 
building was either not 
working or poorly designed.  
The sm all amounts of 
hydrogen released during the 
battery charging operation 
apparently accum ulated and 
then an ignition source led to 
the explosion.  As you can 
see, the roof was blown off 
(about 400 square feet), the 
damage is extensive - but, no 
one was in the building so – 
luckily - no injuries.  A 
typical event, happens all the 
time! 
Whenever  a flammable substance is presen t in a confined area, release 
of that mat erial creates a potential explosion scenario. May 2002
AIChE © 2002.  All rights reserved. Repr oduction for non -commer cial, ed ucation al purposes is en couraged.  However, 
reproduction for the purpose of resale by anyone other than CCPS is strictly p rohibited. 
Contact us at ccps@ai che.org or 212-591-7319.   http://www.aic he.org/ ccps/sa fetybeacon.htm  
PSID Members r efer to incid ents: *120, *245, *32 7 "
"Process Safety Beacon (English) - June 2002 [2002-06-Beacon-English_0]","DON’T GET YOUR PIPES IN A TWIST 
 
   
This picture was just too 
good to pass up!  W e do not 
know where it cam e from.  It 
may show, unlike our 
previous photos, som ething 
that does not exist in real life.  
If som eone would like to say, 
“yep, tha t’s my location ”, 
please let us know!  W e’ll 
send you a t-shirt (or 
something!) for your trouble. 
 
 
The next time you hear these stat ements, think of this picture! 
Ö 
Ö 
Ö 
Ö 
Ö 
Ö 
Ö 
Ö “We need to be able to pump everything to everyw here! ”  Lif e is com plicated – and  som etimes 
our desire for flexibility crea tes REALLY com plex facilities.  
“Line up tank 146, through the new  bypass line, to  the old stainless heat exchanger and then 
to the south  tank! ”  W e need to be clear and p recise when we communicate with e ach other. 
“No need to look at the operating instruct ions,  I remember the valv ing for that s etup!”  In 
many cases, we don’t ref er to these docum ents as often as we should. 
“Every one of those lines has a management of change form! ”  Managem ent of change is a 
powerful tool, but looking at this piping – one lin e at a tim e, by itself – seem s to m iss som ething.  
Managem ent of change must also deal with how the change f its in to the existing f acility. 
“Harry, you need to use a 2” x 12” plank to get to that valve! “  Opera bility is a ke y param eter 
for new equipm ent.  W hat you see here would se em to be difficult to operate (m aybe an 
understatem ent?)!  Being able to reach equipm ent is an im portant feature. 
“We never dismantle piping – might need it someday! ”  Re moving any equipm ent item  is 
difficult, but when it bec omes a hind rance to operability someone needs to m ake the r ight 
decision. 
“Nancy, w hen you break the flange to replace that gasket, lets get a bucket underneath to 
catch any drips! ”  Maintainab ility is  another k ey param eter for new equipm ent. 
“We pride ourselves on being in comp lete co mpliance w ith all regulations! ”  An d, the facility 
depicted above m ay indeed be in compliance.  B ut, som etimes we need to stand back and ask the 
simple question – is th is facility easy to run saf ely? 
 
 
 
AIChE © 2002.  All rights reserved. Repr oduction for non -commer cial, ed ucation al purposes is en couraged.  
However, reproduction for the purpose of resale by anyone other than CCPS is strictly prohibited. Contact us at  
ccps@aic he.org  or 212-591-7319.   http://www.aic he.org/ ccps/sa fetybeacon.htm  Process Safety Beacon CCPS 
An A IChE Industry     
Tech nology Alliance  Messages fo r 
Manufacturing 
Personnel 
Operating a plant is a co mplex task requiring a num ber of different skills.  Doing 
them  all, correctly, every time, is essential! June 2002"
"Process Safety Beacon (English) - July 2002 [2002-07-Beacon-English_0]"," 
 
 Process Safety Beacon CCPS 
An A IChE Industry     
Tech nology Alliance  Messages fo r 
Manufacturing 
Personnel 
The Seal That 
Didn’t Perform! 
 Here’s W hat Happened:  
The pum p in this picture was d estroy ed because the mechanic al 
seal fail ed.  The light hydrocarbon being pum ped was released; it 
ignited and burned – causi ng extensive l ocal dam age.  No one was 
near the pump when the fire occurre d, so there were n o injuries. 
 
 
What can I do?  
• 
• 
• 
• 
• When you walk through ar eas, alway s be alert for liquids 
around pum ps.  Liquid presence may mean a seal leak. 
Operate the pum p the way  it was designed to function.  For 
instance, if the seal has a barrier fluid or seal purge, make 
sure there is f luid in the reservoir and tha t it is flowing to the 
pump.  Understanding thes e special sy stem s and their proper 
operation will extend seal life and m inimize failures. 
Never ‘dead head’  (no liquid flow) a pum p.  Pumps and seals 
can heat significantly  when there is no liquid flow.  This can 
lead to a number of unwanted consequences, including seal 
failure. 
During m aintenance activit ies, be sure the installed se al is 
made of the c orrect materials. 
When you detect a leaking seal, take the pump out of s ervice 
prom ptly and get it repaired.  Seal leaks quickly  get worse 
with time.  What is a Seal ? 
(Hint: We are not talki ng about  
the circus!) 
Many , probably most, pum ps have some 
type of m echanical se al.  In GENERAL  
terms, it is a device which prevents 
significant leakage of the fluids in pumps 
and other powered machi nery items.  
Seals co me in a num ber of different 
designs and a wide array  of different 
materi als of construction.  While the 
function of a mechanic al seal is relative ly 
simple, sel ecting the correct seal for a 
given applica tion requires j udgm ent and 
experience. 
 
Why do they Leak?  
Nothing com plicated here: 
1) they wear out, 
2) they are not installed corre ctly,  
3) they are not o perated properly, or 
4) they are made of wrong materials. 
 
Leakage rates can be very significan t 
with som e types of failures!  
AIChE © 2002.  All rights reserved. Repr oduction for non -commer cial, ed ucation al purposes is en couraged.  However, 
reproduction for the purpose of resale by anyone other than CCPS is strictly p rohibited. 
Contact us at ccps@ai che.org or 212-591-7319.   http://www.aic he.org/ ccps/sa fetybeacon.htm  Understand the special features of  the mechanical seals in your 
facility – monitor their performance and take care of them! July 2002
"
"Process Safety Beacon (English) - August 2002 [2002-08-Beacon-English_0]"," 
FASTER THAN A SPEEDING BULLET Process Safety Beacon CCPS 
An A IChE Industry     
Tech nology Alliance  This issue 
Sponsored by  
Here’s What Happened: 
A piece of equipm ent was being pressure tested at ap proxim ately 5,000 psi.  Dur ing the pressure check, two 
employees were inspecting for leaks.  Without warning, a ¾” threaded therm owell failed at the threaded joint, 
the force sepa rated it at a very  high rate of speed and it  struck one of the e mployees in the leg, leading to a 
very serious i njury. 
AIChE © 2002.  All rights reserved. Repr oduction for non -commer cial, ed ucation al purposes is en couraged.  However, 
reproduction for the purpose of resale by anyone other than CCPS is strictly p rohibited. 
Contact us at ccps@ai che.org or 212-591-7319.   http://www.aic he.org/ ccps/sa fetybeacon.htm  When threaded equipment is taken apart, l ook carefully for stripped thre ads, corrosion or 
anything t hat looks abnorm al – it may be a WEAK POINT in your system ! Comm on causes of failures 
like this: 
• 
• 
• threaded connections can be 
weak points, especially  if the 
threads are co rroded, stripped 
or if the threaded connection is 
not full y made up 
these problems ar e often hidden 
from  view;  finding  a probl em 
may be possi ble onl y if the  
connection is disasse mbled and 
all threads inspected 
in the above i ncident, what 
made the accident ver y serious 
was the fa ct that someone was 
standing rig ht in front  of th e 
therm owell when the joint 
failed 
 
What can I do? 
• 
• 
• 
• While com plete failures of joints are rare, they can 
and do occur.  In this incident, the force on the 
therm owell was approximately  1-3/4 ton, and the 
failure propelled the thermowell at roughl y 90 
MPH.  When increasing pressure in equipment 
attempt to sta nd a safe distance aw ay or behind 
barricades until the final pressure is reached. 
Whenever threaded connections are disasse mbled, 
inspect BOT H sets of thre ads for corrosion, signs 
of cross threa ding, etc.  If there is a proble m, get it 
repaired before putting pressure on the joint. 
Threaded connections can be “backweld ed” - this 
will i mprove the overall strength of t he joint.  T he 
disadvantage, of course, is now the join t can not be 
disasse mbled easily . 
For sy stem s where significant corrosion is present, 
flanged conn ections are generally  better than 
threaded.The p ictures are made av ailable b y the compan y invol ved to impr ove safety  awareness across th e industr y. August 2002"
